Timestamp,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max
1684884895.890530,1,0.843122,0.843122,0.000000,1.000000,1,0.817171,0.817171,0.000000,1.000000,0.000000,1,0.791361,0.791361,0.000000,1.000000,1,0.749381,0.749381,0.000000,1.000000,1,0.774218,0.774218,0.000000,1.000000,1,0.782571,0.782571,0.000000,1.000000
1684884905.890530,1,0.722231,0.722231,0.000000,1.000000,1,0.750973,0.750973,0.000000,1.000000,0.000000,1,0.815506,0.815506,0.000000,1.000000,1,0.803695,0.803695,0.000000,1.000000,1,0.730895,0.730895,0.000000,1.000000,1,0.794143,0.794143,0.000000,1.000000
1684884915.890530,1,0.770500,0.770500,0.000000,1.000000,1,0.771617,0.771617,0.000000,1.000000,0.000000,1,0.733662,0.733662,0.000000,1.000000,1,0.779377,0.779377,0.000000,1.000000,1,0.833986,0.833986,0.000000,1.000000,1,0.724017,0.724017,0.000000,1.000000
1684884925.890530,1,0.804452,0.804452,0.000000,1.000000,1,0.781776,0.781776,0.000000,1.000000,0.000000,1,0.771760,0.771760,0.000000,1.000000,1,0.745176,0.745176,0.000000,1.000000,1,0.744300,0.744300,0.000000,1.000000,1,0.818163,0.818163,0.000000,1.000000
1684884935.890530,1,0.814916,0.814916,0.000000,1.000000,1,0.832385,0.832385,0.000000,1.000000,0.000000,1,0.832308,0.832308,0.000000,1.000000,1,0.821272,0.821272,0.000000,1.000000,1,0.781314,0.781314,0.000000,1.000000,1,0.804732,0.804732,0.000000,1.000000
1684884945.890530,1,0.742724,0.742724,0.000000,1.000000,1,0.736774,0.736774,0.000000,1.000000,0.000000,1,0.775376,0.775376,0.000000,1.000000,1,0.810492,0.810492,0.000000,1.000000,1,0.827250,0.827250,0.000000,1.000000,1,0.771314,0.771314,0.000000,1.000000
1684884955.890530,1,0.850662,0.850662,0.000000,1.000000,1,0.840190,0.840190,0.000000,1.000000,0.000000,1,0.800966,0.800966,0.000000,1.000000,1,0.797991,0.797991,0.000000,1.000000,1,0.840201,0.840201,0.000000,1.000000,1,0.807196,0.807196,0.000000,1.000000
1684884965.890530,1,0.819139,0.819139,0.000000,1.000000,1,0.845741,0.845741,0.000000,1.000000,0.000000,1,0.851884,0.851884,0.000000,1.000000,1,0.811226,0.811226,0.000000,1.000000,1,0.755870,0.755870,0.000000,1.000000,1,0.872438,0.872438,0.000000,1.000000
1684884975.890530,1,0.839251,0.839251,0.000000,1.000000,1,0.828331,0.828331,0.000000,1.000000,0.000000,1,0.843085,0.843085,0.000000,1.000000,1,0.859784,0.859784,0.000000,1.000000,1,0.880672,0.880672,0.000000,1.000000,1,0.791823,0.791823,0.000000,1.000000
1684884985.890530,1,0.823866,0.823866,0.000000,1.000000,1,0.810649,0.810649,0.000000,1.000000,0.000000,1,0.817893,0.817893,0.000000,1.000000,1,0.839544,0.839544,0.000000,1.000000,1,0.843245,0.843245,0.000000,1.000000,1,0.842817,0.842817,0.000000,1.000000
